Old Ticker,New Ticker,Closing Date
GPAQ,HOFV,2020
ARYA,IMTX,2020
PAAC,LGHL,2020
NEBU,LPRO,2020
VTIQ,NKLA,2020
MUDS,HYMC,2020
EAGL,DKNG,2020
FLLC,FLLC,2020
WRLS,AVCT,2020
ALGR,ALGR,2020
TIBR,IGIC,2020
DDMX,BWMX,2020
BWMC,ATCX,2020
TKKS,GSMG,2020
MOSC,VVNT,2020
NFC,NFH,2019
HSAC,IMVT,2019
GIG,KLR,2019
TPGH,ACEL,2019
TMCX,BRMK,2019
DFBH,AHCO,2019
STNL,STNL,2019
IPOA,SPCE,2019
GLAC,GTEC,2019
BRAC,AESE,2019
CIC,NSCO,2019
TBRG,RPAY,2019
MTEC,KERN,2019
OMAD,PACK,2019
BCAC,XYNO,2019
CCC,CCC,2019
EAGL,TH,2019
GTYH,GTYH,2019
TWLV,BROG,2019
BRAC,AESE,2019
MMDM,SONG,2019
CMSS,KXIN,2019
BCAC,BCAC,2019
LCAH,WTRH,2018
EACQ,SG,2018
TPGE,MGY,2018
FMCI1,CVON,2018
SRUN,AMR,2018
RBZ,RBZ,2018
MACQ,PRTH,2018
ANDA,LAZY,2018
,CVON,2018
CFCO,FG,2017
EAGL,WSC,2017
CPAA,SMPL,2017
,BRQS,2017
,ROSE,2017